0, folkungagata 50, 0, 59.314132667075526, 18.07403862476349
1, folkungagata 52, 0, 59.31416825621825, 18.074451684951782
2, folkungagata 54, 0, 59.31418741958739, 18.074585795402527
3, folkungagata 56, 0, 59.314258597721, 18.075159788131714
4, folkungagata 58, 0, 59.31433525092902, 18.07576596736908
5, folkungagata 68, 0, 59.314496769623055, 18.07696759700775
6, folkungagata 70, 0, 59.31454057117054, 18.077305555343628
7, folkungagata 72, 0, 59.314589847844, 18.077697157859802
8, folkungagata 74, 0, 59.314630911684, 18.07802438735962
9, folkungagata 76, 0, 59.31466650030522, 18.078324794769287
10, folkungagata 78, 0, 59.31470482647103, 18.078630566596985
11, folkungagata 84, 0, 59.31482801742566, 18.079606890678406
12, folkungagata 96, 0, 59.31511546125063, 18.08173656463623
13, folkungagata 98, 0, 59.315151049364665, 18.082053065299988
14, folkungagata 100, 0, 59.31519211252685, 18.082374930381775
15, folkungagata 102, 0, 59.31523591317853, 18.08273434638977
16, folkungagata 108, 0, 59.31526876363025, 18.08346390724182
17, kocksgatan 1, 0, 59.31365357883565, 18.074124455451965
18, kocksgatan 3, 0, 59.31371106978088, 18.074446320533752
19, kocksgatan 5, 0, 59.31375760999865, 18.074854016304016
20, kocksgatan 9, 0, 59.313812363114494, 18.075320720672607
21, kocksgatan 11, 0, 59.313894492622936, 18.0759859085083
22, kocksgatan 17, 0, 59.314056013410784, 18.07728409767151
23, kocksgatan 19, 0, 59.31409707789552, 18.07754695415497
24, kocksgatan 21, 0, 59.3141299294476, 18.077917098999023
25, kocksgatan 2, 0, 59.31349479381531, 18.074387311935425
26, kocksgatan 18, 0, 59.313883542033246, 18.077364563941956
27, kocksgatan 20, 0, 59.313910918500795, 18.077595233917236
28, kocksgatan 22, 0, 59.313941032589625, 18.077847361564636
29, kocksgatan 24, 0, 59.31399304777118, 18.078190684318542
30, kocksgatan 23, 0, 59.31418468196388, 18.07828187942505
31, kocksgatan 25, 0, 59.31423395915316, 18.078657388687134
32, kocksgatan 26, 0, 59.31404506287312, 18.078555464744568
33, kocksgatan 28, 0, 59.314072439210626, 18.078834414482117
34, kocksgatan 27, 0, 59.314291449117015, 18.079140186309814
35, kocksgatan 30, 0, 59.31411897893376, 18.079183101654053
36, kocksgatan 29, 0, 59.31436810225099, 18.079617619514465
37, kocksgatan 32, 0, 59.31416825621825, 18.0795156955719
38, kocksgatan 36, 0, 59.314220271052186, 18.080384731292725
39, kocksgatan 33, 0, 59.3144721312278, 18.080390095710754
40, kocksgatan 38, 0, 59.31426407295586, 18.08071732521057
41, kocksgatan 40, 0, 59.31431061241671, 18.08096408843994
42, kocksgatan 42, 0, 59.31435167659396, 18.081366419792175
43, kocksgatan 37, 0, 59.3145788974783, 18.08124840259552
44, kocksgatan 39, 0, 59.31471577679618, 18.08226227760315
45, kocksgatan 44, 0, 59.31450224481957, 18.082315921783447
46, kocksgatan 41, 0, 59.314748627750475, 18.082643151283264
47, kocksgatan 48, 0, 59.314554259142554, 18.08276653289795
48, kocksgatan 45, 0, 59.31481706713664, 18.083136677742004
49, kocksgatan 47, 0, 59.31488824395212, 18.083646297454834
50, kocksgatan 50, 0, 59.314589847844, 18.08301866054535
51, kocksgatan 54, 0, 59.314718514376914, 18.08371603488922
52, asogatan 110, 0, 59.31289113020252, 18.074432909488678
53, asogatan 111, 0, 59.313086877174044, 18.074596524238586
54, asogatan 112, 0, 59.31290618770188, 18.074556291103363
55, asogatan 113, 0, 59.31315258219857, 18.074980080127716
56, asogatan 116, 0, 59.31297463079672, 18.075055181980133
57, asogatan 118, 0, 59.31302117202252, 18.07540386915207
58, asogatan 120, 0, 59.313063606614065, 18.0757874250412
59, asogatan 117, 0, 59.313294942649506, 18.07601809501648
60, asogatan 122, 0, 59.31311972970216, 18.076197803020477
61, asogatan 121, 0, 59.31338391762867, 18.07673692703247
62, asogatan 126, 0, 59.313210073990895, 18.076908588409424
63, asogatan 123, 0, 59.31347563005579, 18.07742089033127
64, asogatan 128, 0, 59.31328946725857, 18.07751476764679
65, asogatan 125, 0, 59.31352217059585, 18.07777762413025
66, asogatan 130, 0, 59.31332642613028, 18.077812492847443
67, asogatan 127, 0, 59.31356597339889, 18.078080713748932
68, asogatan 129, 0, 59.31359882546412, 18.078383803367615
69, asogatan 132, 0, 59.31337433571903, 18.07816118001938
70, asogatan 136, 0, 59.31342224524025, 18.0785071849823
71, asogatan 131, 0, 59.313638521667286, 18.07871103286743
72, asogatan 133, 0, 59.31368095548837, 18.07898998260498
73, asogatan 140, 0, 59.313487949616736, 18.07914823293686
74, asogatan 142, 0, 59.31355228502899, 18.079590797424316
75, asogatan 144, 0, 59.31360703847547, 18.08000922203064
76, asogatan 135, 0, 59.313727495747365, 18.079327940940857
77, asogatan 137, 0, 59.31378088008366, 18.07970881462097
78, asogatan 146, 0, 59.313693274974874, 18.08078706264496
79, asogatan 148, 0, 59.313739815217005, 18.081175982952118
80, asogatan 154, 0, 59.313883542033246, 18.082307875156403
81, asogatan 149, 0, 59.31413129826157, 18.08237761259079
82, asogatan 151, 0, 59.314139511144305, 18.0824875831604
83, asogatan 156, 0, 59.31393692612457, 18.08264583349228
84, asogatan 158, 0, 59.31395061433958, 18.082779943943024
85, asogatan 153, 0, 59.314192894833724, 18.082924783229828
86, asogatan 155, 0, 59.31422848391341, 18.08323323726654
87, asogatan 157, 0, 59.31426954818986, 18.083530962467194
88, asogatan 159, 0, 59.31431471883666, 18.083876967430115
89, asogatan 160, 0, 59.314035481149816, 18.08340221643448
