0, gofoblock, Node, 59.31421205818895, 18.073384165763855
1, folkungagatan, Node, 59.31428323627098, 18.073952794075012
2, folkungagatan, Node, 59.31433251331741, 18.074349761009216
3, folkungagatan, Node, 59.31434620137319, 18.07448923587799
4, folkungagatan, Node, 59.31442285438371, 18.075068593025208
5, folkungagatan, Node, 59.314496769623055, 18.07571768760681
6, osfoblock, Node, 59.314589847844, 18.07647407054901
7, folkungagatan, Node, 59.31463912444604, 18.076897859573364
8, folkungagatan, Node, 59.31468566339353, 18.07723581790924
9, folkungagatan, Node, 59.31474041501489, 18.077622056007385
10, folkungagatan, Node, 59.31478421624847, 18.07799220085144
11, folkungagatan, Node, 59.31481980470924, 18.07827651500702
12, folkungagatan, Node, 59.314860868271516, 18.078587651252747
13, folkungagatan, Node, 59.3149785835418, 18.07949423789978
14, sofoblock, Node, 59.315008696685034, 18.079714179039
15, nyfoblock, Node, 59.31520032515335, 18.081361055374146
16, folkungagatan, Node, 59.315246863332646, 18.081672191619873
17, folkungagatan, Node, 59.315279713773776, 18.0819833278656
18, folkungagatan, Node, 59.31532898937601, 18.082315921783447
19, folkungagatan, Node, 59.31538100243423, 18.082686066627502
20, folkungagatan, Node, 59.31547134071458, 18.083442449569702
21, folkungagatan, Node, 59.31552061603909, 18.083796501159668
22, folkungagatan, Node, 59.31526876363025, 18.083914518356323
23, folkungagatan, Node, 59.31503607224662, 18.08401644229889
24, rekoblock, Node, 59.31484170528196, 18.084113001823425
25, kocksgatan, Node, 59.31480064169653, 18.083689212799072
26, kocksgatan, Node, 59.314718514376914, 18.083147406578064
27, kocksgatan, Node, 59.314693876142336, 18.08296501636505
28, kocksgatan, Node, 59.314663762720286, 18.082696795463562
29, kocksgatan, Node, 59.31461174856483, 18.082294464111328
30, nykoblock, Node, 59.31453509598018, 18.081682920455933
31, kocksgatan, Node, 59.314474868828164, 18.08128595352173
32, kocksgatan, Node, 59.31442832959213, 18.080915808677673
33, kocksgatan, Node, 59.3144009535412, 18.080663681030273
34, kocksgatan, Node, 59.31436810225099, 18.080395460128784
35, sokoblock, Node, 59.31433251331741, 18.080084323883057
36, kocksgatan, Node, 59.31426954818986, 18.079655170440674
37, kocksgatan, Node, 59.314253122485226, 18.07947278022766
38, kocksgatan, Node, 59.31420932056744, 18.079177737236023
39, kocksgatan, Node, 59.31416278096795, 18.07876467704773
40, kocksgatan, Node, 59.31412445419112, 18.07850182056427
41, kocksgatan, Node, 59.31409707789552, 18.078319430351257
42, kocksgatan, Node, 59.314066963944875, 18.078088760375977
