0, kocks, 59.31367000482992, 18.07521343231201
1, kocks, 59.31466650030522, 18.082916736602783
2, bonde, 59.31316627072937, 18.081564903259277
3, bonde, 59.312542068121196, 18.076329231262207
4, katarina, 59.31203831731022, 18.075921535491943
5, skane, 59.312563970161094, 18.08199405670166
6, bleking, 59.31075700444224, 18.076608180999756
7, gotlands, 59.309705634746614, 18.077402114868164
8, bjurholms, 59.309278506522695, 18.080685138702393
9, nytorget, 59.31243255771019, 18.08298110961914
10, sofia, 59.31158931573188, 18.08328151702881
11, aso, 59.31394377023276, 18.08096408843994
12, soder, 59.30971658668181, 18.08246612548828
